City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,port lincoln,-34.7333,135.8667,17.48,42,2,6.83,AU,1697432451
141,aden,12.7794,45.0367,29.28,66,0,5.63,YE,1697432481
142,san salvador,13.6894,-89.1872,22.15,100,98,0.46,SV,1697432354
143,dzuunharaa,48.8523,106.4579,13.59,37,9,4.82,MN,1697432481
144,nadym,65.5333,72.5167,0.88,98,100,7.6,RU,1697432482
145,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.54,GF,1697432482
146,saryozek,44.3583,77.9753,9.73,38,7,1.19,KZ,1697432482
147,burang,30.25,81.1667,3.78,33,26,3.05,CN,1697432483
148,progreso,21.2833,-89.6667,25.62,67,80,7.71,MX,1697432483
149,atherton,53.5237,-2.4935,6.35,92,100,1.1,GB,1697432484
150,ancud,-41.8697,-73.8203,8.38,81,9,3.53,CL,1697432417
151,kingsford,-33.924,151.2275,22.77,53,75,15.95,AU,1697432484
152,mersa matruh,31.3525,27.2453,20.11,83,0,4.12,EG,1697432484
153,olyokminsk,60.3736,120.4264,1.11,67,100,3.58,RU,1697432485
154,geraldton,-28.7667,114.6,40.23,7,46,4.63,AU,1697432485
155,sola,-13.8833,167.55,26.16,85,96,7.26,VU,1697432482
156,tari,12.4086,4.4914,26.0,54,72,2.75,NG,1697432486
157,mariehamn,60.0973,19.9348,6.01,70,20,4.12,AX,1697432487
158,uturoa,-16.7333,-151.4333,25.95,75,11,5.77,PF,1697432487
159,villa gesell,-37.2639,-56.973,13.03,93,20,6.19,AR,1697432488
160,petropavlovka,50.6114,105.3196,12.43,43,7,5.51,RU,1697432488
161,lompoc,34.6391,-120.4579,16.08,87,0,5.36,US,1697432438
162,eureka,40.8021,-124.1637,17.33,96,100,2.38,US,1697432489
163,ewo,-0.8725,14.8206,22.38,92,100,1.38,CG,1697432489
164,lerwick,60.1545,-1.1494,9.0,80,99,6.65,GB,1697432490
165,nemuro,43.3236,145.575,14.01,75,50,1.7,JP,1697432490
166,manhattan,40.7834,-73.9662,11.0,76,0,4.02,US,1697432126
167,port mathurin,-19.6833,63.4167,24.0,83,19,5.66,MU,1697432469
168,keflavik,64.0049,-22.5624,6.95,93,75,4.12,IS,1697432491
169,warrnambool,-38.3833,142.4833,12.63,58,57,8.88,AU,1697432491
170,nagqu,31.5,92.0,6.03,36,97,3.8,CN,1697432491
171,meulaboh,4.1363,96.1285,28.37,71,100,1.79,ID,1697432492
172,port augusta,-32.5,137.7667,19.76,38,20,8.62,AU,1697432492
173,faya-largeau,17.9257,19.1043,26.79,26,97,8.7,TD,1697432493
174,utrik,11.2278,169.8474,28.46,76,42,5.54,MH,1697432493
175,toliara,-23.35,43.6667,24.96,64,56,0.94,MG,1697432493
176,morwell,-38.2333,146.4,11.89,43,25,5.16,AU,1697432494
177,tofol,5.3248,163.0078,30.88,74,75,3.6,FM,1697432494
178,plastun,44.7561,136.2939,7.27,61,84,3.13,RU,1697432494
179,alice springs,-23.7,133.8833,29.75,13,0,6.69,AU,1697432495
180,kidal,18.4411,1.4078,26.97,16,3,3.46,ML,1697432495
181,jiwani,25.05,61.7417,27.75,71,87,3.31,PK,1697432495
182,galliano,29.4422,-90.2992,18.0,76,0,2.06,US,1697432496
183,natchitoches,31.7668,-93.1335,13.99,77,100,3.09,US,1697432496
184,paka,4.6374,103.4368,32.96,66,20,3.6,MY,1697432496
185,neem ka thana,27.7333,75.8,30.73,31,46,3.35,IN,1697432497
186,olonkinbyen,70.9221,-8.7187,0.08,71,100,4.88,SJ,1697432497
187,udaipur,24.5712,73.6918,28.5,46,61,4.29,IN,1697432497
188,agat village,13.3886,144.6585,31.09,78,69,0.89,GU,1697432498
189,santo domingo de los colorados,-0.25,-79.15,21.33,98,99,0.4,EC,1697432498
190,esmeralda,21.8525,-78.1169,24.74,90,55,2.9,CU,1697432498
191,isafjordur,66.0755,-23.124,1.62,94,100,6.03,IS,1697432498
192,north bend,43.4065,-124.2243,15.51,100,0,0.0,US,1697432499
193,karratha,-20.7377,116.8463,36.73,15,0,8.43,AU,1697432500
194,kapuskasing,49.4169,-82.4331,5.05,81,100,5.14,CA,1697432462
195,slawharad,53.4446,31.0014,5.59,75,100,2.5,BY,1697432501
196,tottori,35.5,134.2333,24.04,53,20,8.23,JP,1697432501
197,greymouth,-42.4667,171.2,11.51,81,100,4.84,NZ,1697432502
198,wanxian,30.8039,108.3897,26.07,56,46,1.6,CN,1697432502
199,toamasina,-18.1667,49.3833,28.0,83,75,1.03,MG,1697432502
200,san jose,37.3394,-121.895,19.76,70,0,13.41,US,1697431898
201,fredericton,45.9454,-66.6656,9.47,95,100,4.12,CA,1697432503
202,ebon,4.582,168.6964,28.87,71,69,1.78,MH,1697432503
203,igarka,67.4667,86.5833,1.08,99,100,2.01,RU,1697432503
204,natal,-5.795,-35.2094,25.12,83,75,4.12,BR,1697432419
205,vorkuta,67.5,64.0,-0.02,98,100,4.34,RU,1697432504
206,saint-philippe,-21.3585,55.7679,26.17,76,17,3.41,RE,1697432505
207,ibitinga,-21.7578,-48.8289,21.81,86,34,1.54,BR,1697432505
208,vilyuchinsk,52.9306,158.4028,9.15,95,100,4.43,RU,1697432506
209,kyren,51.6828,102.1408,6.08,74,90,0.45,RU,1697432506
210,aasiaat,68.7098,-52.8699,-7.83,80,100,1.77,GL,1697432506
211,saudarkrokur,65.7461,-19.6394,3.47,99,100,1.98,IS,1697432507
212,nar'yan-mar,67.6713,53.087,0.62,87,96,8.94,RU,1697432507
213,palmer,42.1584,-72.3287,10.1,88,75,1.54,US,1697432302
214,san antonio de pale,-1.4014,5.6325,25.92,81,100,6.88,GQ,1697432507
215,santa maria,-29.6842,-53.8069,18.4,97,100,2.15,BR,1697432474
216,seminole,28.7086,-81.2081,19.67,80,75,3.6,US,1697432295
217,fale old settlement,-9.3852,-171.2468,28.26,76,58,8.32,TK,1697432508
218,dalandzadgad,43.5708,104.425,16.99,15,86,4.65,MN,1697432508
219,kuusamo,65.9667,29.1833,0.02,100,100,4.12,FI,1697432509
220,daru,-9.0763,143.2092,26.67,77,66,5.21,PG,1697432510
221,lubumbashi,-11.6609,27.4794,21.21,71,100,1.98,CD,1697432510
222,luebo,-5.35,21.4167,21.97,90,97,0.18,CD,1697432510
223,fortuna,40.5982,-124.1573,17.18,75,0,5.66,US,1697432511
224,kapa'a,22.0752,-159.319,27.99,85,75,4.63,US,1697432511
225,malango,-2.9627,119.9001,30.73,43,27,2.84,ID,1697432511
226,revda,56.801,59.9303,9.02,90,100,5.95,RU,1697432511
227,manokwari,-0.8667,134.0833,28.75,72,54,2.89,ID,1697432512
228,luderitz,-26.6481,15.1594,15.03,75,0,3.01,NA,1697432512
229,kerikeri,-35.2268,173.9474,18.22,68,57,3.46,NZ,1697432513
230,pyt-yakh,60.7499,72.8582,4.81,92,100,5.55,RU,1697432513
231,bingen am rhein,49.9667,7.9,4.32,94,18,1.48,DE,1697432513
232,tandalti,13.0167,31.8667,31.84,31,69,1.69,SD,1697432514
233,bel ombre,-4.6167,55.4167,25.91,89,40,5.14,SC,1697432514
234,feijo,-8.1642,-70.3536,22.54,93,56,0.96,BR,1697432515
235,troitsko-pechorsk,62.7084,56.1964,4.83,98,91,2.68,RU,1697432515
236,piney green,34.716,-77.3202,12.73,87,0,1.54,US,1697432515
237,akureyri,65.6835,-18.0878,3.96,93,100,3.6,IS,1697432516
238,xudat,41.631,48.681,17.04,56,53,0.76,AZ,1697432516
239,mount gambier,-37.8333,140.7667,13.78,47,65,5.58,AU,1697432517
240,jiuquan,39.7432,98.5174,11.9,37,99,1.39,CN,1697432517
241,ponta delgada,37.7333,-25.6667,22.4,83,75,15.95,PT,1697432424
242,sinop,41.7711,34.8709,14.38,51,10,2.68,TR,1697432518
243,dapchi,12.4904,11.4944,25.85,25,93,2.46,NG,1697432519
244,camacupa,-12.0167,17.4833,17.77,81,72,1.4,AO,1697432424
245,namibe,-15.1961,12.1522,17.22,80,42,1.17,AO,1697432519
246,harnai,30.1005,67.9374,24.7,28,0,1.2,PK,1697432520
247,nova olimpia,-14.7972,-57.2881,27.77,48,69,1.81,BR,1697432520
248,saida,34.8303,0.1517,12.88,53,0,3.03,DZ,1697432521
249,lebu,-37.6167,-73.65,8.33,83,1,6.83,CL,1697432500
250,dubinino,55.6192,89.0911,6.86,62,89,6.33,RU,1697432522
251,morehead city,34.7229,-76.726,14.43,84,100,3.6,US,1697432523
252,verkhnevilyuysk,63.4453,120.3167,-2.81,69,100,3.58,RU,1697432524
253,anadyr,64.75,177.4833,1.28,100,75,1.0,RU,1697432524
254,hammerfest,70.6634,23.6821,4.25,87,75,9.77,NO,1697432524
255,palikir - national government center,6.9248,158.1611,28.34,71,100,2.34,FM,1697432376
256,shalqar,47.8333,59.6,11.81,54,0,2.44,KZ,1697432525
257,kirensk,57.7853,108.1119,5.57,95,100,3.58,RU,1697432525
258,el calafate,-50.3408,-72.2768,4.5,67,18,3.93,AR,1697432526
259,nema,57.5067,50.5011,9.94,80,100,4.32,RU,1697432526
260,san rafael,-34.6177,-68.3301,16.8,20,3,8.04,AR,1697432527
261,grand falls-windsor,48.9332,-55.6649,5.28,93,99,0.66,CA,1697432527
262,huilong,31.8111,121.655,22.6,48,0,3.72,CN,1697432527
263,tuy hoa,13.0833,109.3,29.06,76,89,0.62,VN,1697432528
264,luganville,-15.5333,167.1667,26.91,80,54,4.85,VU,1697432528
265,kassala,15.451,36.4,29.82,54,98,3.27,SD,1697432528
266,callao,-12.0667,-77.15,19.84,77,100,4.63,PE,1697432529
267,karak,31.1667,35.75,14.6,88,1,3.95,JO,1697432529
268,bryne,58.7354,5.6477,5.32,88,40,3.6,NO,1697432530
